nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 6
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 6
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 6
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 6
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 18
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 18
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 3
nlogn, /results2079, 26217, 5
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 19
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 5
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 3
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 18
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 4
nlogn, /results2079, 26217, 4
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 5
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 19
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 17
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 7
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 20
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 18
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 7
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 5
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 18
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 15
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 9
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 6
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 14
logn, /results2079, 24444, 8
nlogn, /results2079, 26217, 6
logn, /results2079, 24444, 9
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 19
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 16
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 12
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 8
logn, /results2079, 24444, 12
nlogn, /results2079, 26217, 13
logn, /results2079, 24444, 10
nlogn, /results2079, 26217, 11
logn, /results2079, 24444, 11
nlogn, /results2079, 26217, 10
logn, /results2079, 24444, 9
